City,Province_left,HR_UID,Province_right,Population
Wood Buffalo,Alberta,4835,AB,71589
Grande Prairie,Alberta,4835,AB,63166
Cold Lake,Alberta,4835,AB,14961
Hinton,Alberta,4835,AB,9882
Edson,Alberta,4835,AB,8414
Peace River,Alberta,4835,AB,6842
Slave Lake,Alberta,4835,AB,6651
Bonnyville,Alberta,4835,AB,5975
St. Paul,Alberta,4835,AB,5827
Westlock,Alberta,4835,AB,5101
Jasper,Alberta,4835,AB,4590
Barrhead,Alberta,4835,AB,4579
Grande Cache,Alberta,4835,AB,3571
High Level,Alberta,4835,AB,3159
Athabasca,Alberta,4835,AB,2965
Grimshaw,Alberta,4835,AB,2718
Sexsmith,Alberta,4835,AB,2620
High Prairie,Alberta,4835,AB,2564
Beaverlodge,Alberta,4835,AB,2465
Redwater,Alberta,4835,AB,2053
Fox Creek,Alberta,4835,AB,1971
Valleyview,Alberta,4835,AB,1863
Wembley,Alberta,4835,AB,1516
Elk Point,Alberta,4835,AB,1452
Wabasca,Alberta,4835,AB,1406
Mayerthorpe,Alberta,4835,AB,1320
Swan Hills,Alberta,4835,AB,1301
Manning,Alberta,4835,AB,1183
Whitecourt,Alberta,4835,AB,1082
Falher,Alberta,4835,AB,1047
Onoway,Alberta,4835,AB,1029
Alberta Beach,Alberta,4835,AB,1018
Edmonton,Alberta,4834,AB,1062643
St. Albert,Alberta,4834,AB,65589
Spruce Grove,Alberta,4834,AB,34066
Leduc,Alberta,4834,AB,29993
Fort Saskatchewan,Alberta,4834,AB,24149
Beaumont,Alberta,4834,AB,17396
Stony Plain,Alberta,4834,AB,17189
Morinville,Alberta,4834,AB,9848
Devon,Alberta,4834,AB,6578
Gibbons,Alberta,4834,AB,3159
Calmar,Alberta,4834,AB,2228
Bon Accord,Alberta,4834,AB,1529
Legal,Alberta,4834,AB,1345
Red Deer,Alberta,4833,AB,100418
Lloydminster,Alberta,4833,AB,19645
Camrose,Alberta,4833,AB,18742
Sylvan Lake,Alberta,4833,AB,14816
Lacombe,Alberta,4833,AB,13057
Wetaskiwin,Alberta,4833,AB,12655
Blackfalds,Alberta,4833,AB,9328
Olds,Alberta,4833,AB,9184
Drumheller,Alberta,4833,AB,7982
Innisfail,Alberta,4833,AB,7847
Drayton Valley,Alberta,4833,AB,7235
Ponoka,Alberta,4833,AB,7229
Rocky Mountain House,Alberta,4833,AB,6635
Wainwright,Alberta,4833,AB,6270
Stettler,Alberta,4833,AB,5952
Vegreville,Alberta,4833,AB,5708
Vermilion,Alberta,4833,AB,4084
Penhold,Alberta,4833,AB,3277
Three Hills,Alberta,4833,AB,3212
Sundre,Alberta,4833,AB,2729
Rimbey,Alberta,4833,AB,2567
Hanna,Alberta,4833,AB,2559
Tofield,Alberta,4833,AB,2081
Provost,Alberta,4833,AB,1998
Millet,Alberta,4833,AB,1945
Lamont,Alberta,4833,AB,1774
Springbrook,Alberta,4833,AB,1507
Two Hills,Alberta,4833,AB,1352
Bruederheim,Alberta,4833,AB,1308
Bowden,Alberta,4833,AB,1240
Eckville,Alberta,4833,AB,1125
Viking,Alberta,4833,AB,1083
Bentley,Alberta,4833,AB,1078
Trochu,Alberta,4833,AB,1058
Calgary,Alberta,4832,AB,1239220
Airdrie,Alberta,4832,AB,61581
Okotoks,Alberta,4832,AB,28881
Cochrane,Alberta,4832,AB,25853
Chestermere,Alberta,4832,AB,19887
Canmore,Alberta,4832,AB,13992
Strathmore,Alberta,4832,AB,13756
High River,Alberta,4832,AB,13584
Banff,Alberta,4832,AB,7847
Didsbury,Alberta,4832,AB,5268
Carstairs,Alberta,4832,AB,4077
Claresholm,Alberta,4832,AB,3780
Crossfield,Alberta,4832,AB,2983
Black Diamond,Alberta,4832,AB,2700
Turner Valley,Alberta,4832,AB,2559
Nanton,Alberta,4832,AB,2181
Vulcan,Alberta,4832,AB,1917
Irricana,Alberta,4832,AB,1216
Lethbridge,Alberta,4831,AB,92729
Medicine Hat,Alberta,4831,AB,63260
Brooks,Alberta,4831,AB,14451
Taber,Alberta,4831,AB,8428
Coaldale,Alberta,4831,AB,8215
Redcliff,Alberta,4831,AB,5600
Crowsnest Pass,Alberta,4831,AB,5589
Raymond,Alberta,4831,AB,3708
Pincher Creek,Alberta,4831,AB,3642
Cardston,Alberta,4831,AB,3585
Fort Macleod,Alberta,4831,AB,2967
Coalhurst,Alberta,4831,AB,2668
Magrath,Alberta,4831,AB,2374
Bow Island,Alberta,4831,AB,1983
Picture Butte,Alberta,4831,AB,1810
Nobleford,Alberta,4831,AB,1278
Vauxhall,Alberta,4831,AB,1222
Bassano,Alberta,4831,AB,1206
Duchess,Alberta,4831,AB,1085
Oyen,Alberta,4831,AB,1001
Prince George,British Columbia,594,BC,74003
Fort St. John,British Columbia,594,BC,20155
Terrace,British Columbia,594,BC,15723
Dawson Creek,British Columbia,594,BC,12978
Prince Rupert,British Columbia,594,BC,12220
Quesnel,British Columbia,594,BC,9879
Kitimat,British Columbia,594,BC,8131
Northern Rockies,British Columbia,594,BC,5393
Smithers,British Columbia,594,BC,5351
Vanderhoof,British Columbia,594,BC,4439
Mackenzie,British Columbia,594,BC,3714
Houston,British Columbia,594,BC,2993
Chetwynd,British Columbia,594,BC,2635
Tumbler Ridge,British Columbia,594,BC,1987
Nisga'a,British Columbia,594,BC,1880
Burns Lake,British Columbia,594,BC,1779
Fort St. James,British Columbia,594,BC,1598
Taylor,British Columbia,594,BC,1373
Telkwa,British Columbia,594,BC,1327
Valemount,British Columbia,594,BC,1021
Hudson Hope,British Columbia,594,BC,1012
Victoria,British Columbia,593,BC,335696
Saanich,British Columbia,593,BC,114148
Nanaimo,British Columbia,593,BC,90504
Duncan,British Columbia,593,BC,44451
Langford Station,British Columbia,593,BC,35342
Campbell River,British Columbia,593,BC,35138
North Cowichan,British Columbia,593,BC,29676
Courtenay,British Columbia,593,BC,25599
Oak Bay,British Columbia,593,BC,18094
Port Alberni,British Columbia,593,BC,17678
Esquimalt,British Columbia,593,BC,17655
Colwood,British Columbia,593,BC,16859
Central Saanich,British Columbia,593,BC,16814
Comox,British Columbia,593,BC,14828
Sooke,British Columbia,593,BC,13001
Parksville,British Columbia,593,BC,12514
Sidney,British Columbia,593,BC,11672
North Saanich,British Columbia,593,BC,11249
View Royal,British Columbia,593,BC,10408
Qualicum Beach,British Columbia,593,BC,8943
Ladysmith,British Columbia,593,BC,8537
Metchosin,British Columbia,593,BC,4708
Port Hardy,British Columbia,593,BC,4132
Cumberland,British Columbia,593,BC,3753
Lake Cowichan,British Columbia,593,BC,3226
Cedar,British Columbia,593,BC,2836
Errington,British Columbia,593,BC,2677
Highlands,British Columbia,593,BC,2225
Cowichan Bay,British Columbia,593,BC,2086
Saltair,British Columbia,593,BC,2069
Port McNeill,British Columbia,593,BC,2064
Tofino,British Columbia,593,BC,1932
Royston,British Columbia,593,BC,1616
Coombs,British Columbia,593,BC,1612
Hilliers,British Columbia,593,BC,1540
Gold River,British Columbia,593,BC,1500
Dunsmuir,British Columbia,593,BC,1330
Youbou,British Columbia,593,BC,1086
Vancouver,British Columbia,595,BC,2264823
Richmond,British Columbia,595,BC,198309
North Vancouver,British Columbia,595,BC,85935
West Vancouver,British Columbia,595,BC,42473
Squamish,British Columbia,595,BC,19512
Powell River,British Columbia,595,BC,13157
Whistler,British Columbia,595,BC,11854
Sechelt,British Columbia,595,BC,10200
Gibsons,British Columbia,595,BC,4605
Bowen Island,British Columbia,595,BC,3680
Pemberton,British Columbia,595,BC,2574
Lions Bay,British Columbia,595,BC,1334
Surrey,British Columbia,591,BC,517887
Burnaby,British Columbia,591,BC,232755
Abbotsford,British Columbia,591,BC,141397
Coquitlam,British Columbia,591,BC,139284
Langley,British Columbia,591,BC,117285
Delta,British Columbia,591,BC,102238
Chilliwack,British Columbia,591,BC,83788
White Rock,British Columbia,591,BC,82368
Maple Ridge,British Columbia,591,BC,82256
New Westminster,British Columbia,591,BC,70996
Port Coquitlam,British Columbia,591,BC,58612
Mission,British Columbia,591,BC,38833
Port Moody,British Columbia,591,BC,33551
Pitt Meadows,British Columbia,591,BC,18573
Hope,British Columbia,591,BC,6181
Kent,British Columbia,591,BC,6067
Anmore,British Columbia,591,BC,2210
Harrison Hot Springs,British Columbia,591,BC,1468
Popkum,British Columbia,591,BC,1382
Kelowna,British Columbia,592,BC,142146
Kamloops,British Columbia,592,BC,100046
Vernon,British Columbia,592,BC,44600
Penticton,British Columbia,592,BC,33761
East Kelowna,British Columbia,592,BC,32655
Cranbrook,British Columbia,592,BC,19259
Salmon Arm,British Columbia,592,BC,17706
Lake Country,British Columbia,592,BC,12922
Summerland,British Columbia,592,BC,11615
Williams Lake,British Columbia,592,BC,10753
Nelson,British Columbia,592,BC,10664
Coldstream,British Columbia,592,BC,10314
Castlegar,British Columbia,592,BC,8039
Trail,British Columbia,592,BC,7709
Kimberley,British Columbia,592,BC,7425
Merritt,British Columbia,592,BC,7139
Peachland,British Columbia,592,BC,5428
Creston,British Columbia,592,BC,5351
Fernie,British Columbia,592,BC,5249
Spallumcheen,British Columbia,592,BC,5106
Osoyoos,British Columbia,592,BC,5085
Oliver,British Columbia,592,BC,4928
Armstrong,British Columbia,592,BC,4830
Grand Forks,British Columbia,592,BC,4274
Sparwood,British Columbia,592,BC,3784
Rossland,British Columbia,592,BC,3729
Golden,British Columbia,592,BC,3708
Fruitvale,British Columbia,592,BC,3627
Westbank,British Columbia,592,BC,3581
Lumby,British Columbia,592,BC,3500
Invermere,British Columbia,592,BC,3391
Ellison,British Columbia,592,BC,3094
Enderby,British Columbia,592,BC,2964
Princeton,British Columbia,592,BC,2828
Elkford,British Columbia,592,BC,2499
Sicamous,British Columbia,592,BC,2429
Clearwater,British Columbia,592,BC,2324
Lillooet,British Columbia,592,BC,2321
Chase,British Columbia,592,BC,2286
Logan Lake,British Columbia,592,BC,2073
One Hundred Mile House,British Columbia,592,BC,1980
Warfield,British Columbia,592,BC,1729
Barriere,British Columbia,592,BC,1713
Naramata,British Columbia,592,BC,1676
Nakusp,British Columbia,592,BC,1605
Lakeview,British Columbia,592,BC,1600
Ashcroft,British Columbia,592,BC,1558
Keremeos,British Columbia,592,BC,1502
Grindrod,British Columbia,592,BC,1470
Sorrento,British Columbia,592,BC,1285
Kaleden,British Columbia,592,BC,1203
Salmo,British Columbia,592,BC,1141
Windermere,British Columbia,592,BC,1092
Ootischenia,British Columbia,592,BC,1080
Ucluelet,British Columbia,593,BC,1717
Springfield,Manitoba,4603,MB,15342
St. Andrews,Manitoba,4603,MB,11913
St. Clements,Manitoba,4603,MB,10876
Selkirk,Manitoba,4603,MB,10278
Rockwood,Manitoba,4603,MB,7823
Gimli,Manitoba,4603,MB,6181
Brokenhead,Manitoba,4603,MB,5122
Stonewall,Manitoba,4603,MB,4809
Woodlands,Manitoba,4603,MB,3416
Bifrost-Riverton,Manitoba,4603,MB,3378
Alexander,Manitoba,4603,MB,3333
Beausejour,Manitoba,4603,MB,3126
Lac du Bonnet,Manitoba,4603,MB,3121
West Interlake,Manitoba,4603,MB,2162
Armstrong,Manitoba,4603,MB,1792
Fisher,Manitoba,4603,MB,1708
Pinawa,Manitoba,4603,MB,1504
Rosser,Manitoba,4603,MB,1372
Grahamdale,Manitoba,4603,MB,1359
Reynolds,Manitoba,4603,MB,1338
St. Laurent,Manitoba,4603,MB,1338
Powerview-Pine Falls,Manitoba,4603,MB,1316
Coldwell,Manitoba,4603,MB,1254
Arborg,Manitoba,4603,MB,1222
Teulon,Manitoba,4603,MB,1201
Winnipeg Beach,Manitoba,4603,MB,1145
Brandon,Manitoba,4602,MB,48859
Dauphin,Manitoba,4602,MB,8457
Neepawa,Manitoba,4602,MB,4609
Cornwallis,Manitoba,4602,MB,4520
Swan River,Manitoba,4602,MB,4014
Killarney - Turtle Mountain,Manitoba,4602,MB,3429
Hillsburg-Roblin-Shell River,Manitoba,4602,MB,3214
Virden,Manitoba,4602,MB,3114
North Cypress-Langford,Manitoba,4602,MB,2745
Minnedosa,Manitoba,4602,MB,2449
Boissevain,Manitoba,4602,MB,2353
Prairie View,Manitoba,4602,MB,2088
McCreary,Manitoba,4602,MB,2011
Deloraine-Winchester,Manitoba,4602,MB,2011
Oakland-Wawanesa,Manitoba,4602,MB,2011
Brenda-Waskada,Manitoba,4602,MB,2011
Russell-Binscarth,Manitoba,4602,MB,2011
Ellice-Archie,Manitoba,4602,MB,2011
Souris-Glenwood,Manitoba,4602,MB,2011
Riverdale,Manitoba,4602,MB,2011
Wallace-Woodworth,Manitoba,4602,MB,2011
Ethelbert,Manitoba,4602,MB,2011
Yellowhead,Manitoba,4602,MB,2011
Swan Valley West,Manitoba,4602,MB,2011
Gilbert Plains,Manitoba,4602,MB,2011
Norfolk-Treherne,Manitoba,4602,MB,2011
Hamiota,Manitoba,4602,MB,2011
Sifton,Manitoba,4602,MB,2011
Rossburn,Manitoba,4602,MB,2011
Grand View,Manitoba,4602,MB,2011
Grassland,Manitoba,4602,MB,2011
Ste. Rose,Manitoba,4602,MB,2011
Cartwright-Roblin,Manitoba,4602,MB,2011
Mossey River,Manitoba,4602,MB,2011
Lakeshore,Manitoba,4602,MB,2011
Riding Mountain West,Manitoba,4602,MB,2011
Clanwilliam-Erickson,Manitoba,4602,MB,2011
Glenboro-South Cypress,Manitoba,4602,MB,2011
Minitonas-Bowsman,Manitoba,4602,MB,2011
Carberry,Manitoba,4602,MB,1738
Rosedale,Manitoba,4602,MB,1672
Whitehead,Manitoba,4602,MB,1661
Oakview,Manitoba,4602,MB,1626
Harrison Park,Manitoba,4602,MB,1622
Victoria,Manitoba,4602,MB,1514
Pipestone,Manitoba,4602,MB,1458
Prairie Lakes,Manitoba,4602,MB,1453
Elton,Manitoba,4602,MB,1273
Alonsa,Manitoba,4602,MB,1247
Minto-Odanah,Manitoba,4602,MB,1189
Glenella-Lansdowne,Manitoba,4602,MB,1181
Two Borders,Manitoba,4602,MB,1175
Melita,Manitoba,4602,MB,1042
Argyle,Manitoba,4602,MB,1025
Winnipeg,Manitoba,4601,MB,705244
East St. Paul,Manitoba,4601,MB,9372
West St. Paul,Manitoba,4601,MB,5368
Steinbach,Manitoba,4605,MB,15829
Hanover,Manitoba,4605,MB,15733
Portage La Prairie,Manitoba,4605,MB,13304
Winkler,Manitoba,4605,MB,12660
Tache,Manitoba,4605,MB,11568
Stanley,Manitoba,4605,MB,9038
Morden,Manitoba,4605,MB,8668
Macdonald,Manitoba,4605,MB,7162
Ritchot,Manitoba,4605,MB,6679
La Broquerie,Manitoba,4605,MB,6076
Ste. Anne,Manitoba,4605,MB,5003
Altona,Manitoba,4605,MB,4212
Niverville,Manitoba,4605,MB,4083
De Salaberry,Manitoba,4605,MB,3580
Headingley,Manitoba,4605,MB,3579
Cartier,Manitoba,4605,MB,3368
Lorette,Manitoba,4605,MB,3208
WestLake-Gladstone,Manitoba,4605,MB,3154
Morris,Manitoba,4605,MB,3047
Carman,Manitoba,4605,MB,3027
Dufferin,Manitoba,4605,MB,2435
Mitchell,Manitoba,4605,MB,2279
Pembina,Manitoba,4605,MB,2011
Lorne,Manitoba,4605,MB,2011
Grey,Manitoba,4605,MB,2011
Emerson-Franklin,Manitoba,4605,MB,2011
Louise,Manitoba,4605,MB,2011
North Norfolk,Manitoba,4605,MB,2011
Reinland,Manitoba,4605,MB,2011
Piney,Manitoba,4605,MB,1755
Grunthal,Manitoba,4605,MB,1680
Blumenort,Manitoba,4605,MB,1675
Stuartburn,Manitoba,4605,MB,1648
St. Francois Xavier,Manitoba,4605,MB,1411
Landmark,Manitoba,4605,MB,1292
Montcalm,Manitoba,4605,MB,1260
St-Pierre-Jolys,Manitoba,4605,MB,1170
Roland,Manitoba,4605,MB,1129
Thompson,Manitoba,4604,MB,13678
The Pas,Manitoba,4604,MB,5689
Flin Flon,Saskatchewan,4604,MB,5185
Flin Flon (Part),Manitoba,4604,MB,4982
Kelsey,Manitoba,4604,MB,2424
Wasagamack,Manitoba,4604,MB,1403
Gillam,Manitoba,4604,MB,1265
Bathurst,New Brunswick,1306,NB,18154
Tracadie,New Brunswick,1306,NB,16114
Beresford,New Brunswick,1306,NB,6248
Shippagan,New Brunswick,1306,NB,4800
Caraquet,New Brunswick,1306,NB,4248
Shippegan,New Brunswick,1306,NB,2580
Paquetville,New Brunswick,1306,NB,2329
Allardville,New Brunswick,1306,NB,2032
Petit Rocher,New Brunswick,1306,NB,1908
Bas Caraquet,New Brunswick,1306,NB,1380
New Bandon,New Brunswick,1306,NB,1214
Bertrand,New Brunswick,1306,NB,1137
Campbellton,New Brunswick,1305,NB,10411
Atholville,New Brunswick,1305,NB,3570
Eel River Crossing,New Brunswick,1305,NB,1953
Balmoral,New Brunswick,1305,NB,1674
Belledune,New Brunswick,1305,NB,1548
Charlo,New Brunswick,1305,NB,1310
Durham,New Brunswick,1305,NB,1076
Edmundston,New Brunswick,1304,NB,16580
Grand Falls,New Brunswick,1304,NB,5326
Saint-Quentin,New Brunswick,1304,NB,2194
Kedgwick,New Brunswick,1304,NB,1979
Saint-Jacques,New Brunswick,1304,NB,1596
Saint-Joseph,New Brunswick,1304,NB,1538
Saint-Leonard,New Brunswick,1304,NB,1300
Saint-Andre,New Brunswick,1304,NB,1129
Fredericton,New Brunswick,1303,NB,58220
Oromocto,New Brunswick,1303,NB,9223
Douglas,New Brunswick,1303,NB,6154
Woodstock,New Brunswick,1303,NB,5228
Burton,New Brunswick,1303,NB,5119
Saint Marys,New Brunswick,1303,NB,4837
Hanwell,New Brunswick,1303,NB,4750
New Maryland,New Brunswick,1303,NB,4174
Bright,New Brunswick,1303,NB,3289
Kingsclear,New Brunswick,1303,NB,2822
Wakefield,New Brunswick,1303,NB,2767
Lincoln,New Brunswick,1303,NB,2504
Minto,New Brunswick,1303,NB,2305
Upper Miramichi,New Brunswick,1303,NB,2218
Kent,New Brunswick,1303,NB,2153
Maugerville,New Brunswick,1303,NB,1831
Manners Sutton,New Brunswick,1303,NB,1777
Brighton,New Brunswick,1303,NB,1735
Northampton,New Brunswick,1303,NB,1724
Wicklow,New Brunswick,1303,NB,1697
Florenceville,New Brunswick,1303,NB,1604
Perth,New Brunswick,1303,NB,1590
Gordon,New Brunswick,1303,NB,1493
Southampton,New Brunswick,1303,NB,1484
Denmark,New Brunswick,1303,NB,1471
Richmond,New Brunswick,1303,NB,1303
Peel,New Brunswick,1303,NB,1196
Queensbury,New Brunswick,1303,NB,1174
McAdam,New Brunswick,1303,NB,1151
Chipman,New Brunswick,1303,NB,1104
Noonan,New Brunswick,1303,NB,1042
Plaster Rock,New Brunswick,1303,NB,1023
Wilmot,New Brunswick,1303,NB,1022
Saint John,New Brunswick,1302,NB,67575
Quispamsis,New Brunswick,1302,NB,18245
Rothesay,New Brunswick,1302,NB,11659
Grand Bay-Westfield,New Brunswick,1302,NB,4964
Saint Stephen,New Brunswick,1302,NB,4415
Hampton,New Brunswick,1302,NB,4289
Sussex,New Brunswick,1302,NB,4282
Simonds,New Brunswick,1302,NB,3843
Studholm,New Brunswick,1302,NB,3522
Kingston,New Brunswick,1302,NB,2913
Grand Manan,New Brunswick,1302,NB,2360
Saint George,New Brunswick,1302,NB,2341
Pennfield Ridge,New Brunswick,1302,NB,2170
Westfield Beach,New Brunswick,1302,NB,1962
Saint Andrews,New Brunswick,1302,NB,1786
Saint David,New Brunswick,1302,NB,1529
Springfield,New Brunswick,1302,NB,1525
St. George,New Brunswick,1302,NB,1517
Nauwigewauk,New Brunswick,1302,NB,1472
Sussex Corner,New Brunswick,1302,NB,1461
Norton,New Brunswick,1302,NB,1382
Cardwell,New Brunswick,1302,NB,1353
Upham,New Brunswick,1302,NB,1269
Musquash,New Brunswick,1302,NB,1194
Saint James,New Brunswick,1302,NB,1186
Saint Martins,New Brunswick,1302,NB,1132
Havelock,New Brunswick,1302,NB,1061
Greenwich,New Brunswick,1302,NB,1058
Moncton,New Brunswick,1301,NB,108620
Dieppe,New Brunswick,1301,NB,107068
Riverview,New Brunswick,1301,NB,19667
Shediac,New Brunswick,1301,NB,6664
Beaubassin East / Beaubassin-est,New Brunswick,1301,NB,6376
Sackville,New Brunswick,1301,NB,5331
Memramcook,New Brunswick,1301,NB,4778
Coverdale,New Brunswick,1301,NB,4466
Dundas,New Brunswick,1301,NB,3914
Salisbury,New Brunswick,1301,NB,3388
Wellington,New Brunswick,1301,NB,3079
Cocagne,New Brunswick,1301,NB,2649
Cap Pele,New Brunswick,1301,NB,2425
Buctouche,New Brunswick,1301,NB,2361
Saint-Charles,New Brunswick,1301,NB,1997
Saint Mary,New Brunswick,1301,NB,1972
Richibucto,New Brunswick,1301,NB,1887
Saint-Louis,New Brunswick,1301,NB,1802
Saint-Antoine,New Brunswick,1301,NB,1733
Petitcodiac,New Brunswick,1301,NB,1383
Weldford,New Brunswick,1301,NB,1338
Hillsborough,New Brunswick,1301,NB,1308
Rogersville,New Brunswick,1301,NB,1166
Dorchester,New Brunswick,1301,NB,1096
Botsford,New Brunswick,1301,NB,1058
Miramichi,New Brunswick,1307,NB,17537
Alnwick,New Brunswick,1307,NB,3640
Northesk,New Brunswick,1307,NB,2263
Hardwicke,New Brunswick,1307,NB,2201
Southesk,New Brunswick,1307,NB,1694
Glenelg,New Brunswick,1307,NB,1560
Newcastle,New Brunswick,1307,NB,1136
Neguac,New Brunswick,1307,NB,1684
Lameque,New Brunswick,1306,NB,1285
Happy Valley,Newfoundland and Labrador,1014,NL,8109
Labrador City,Newfoundland and Labrador,1014,NL,7220
St. Anthony,Newfoundland and Labrador,1014,NL,2258
Wabush,Newfoundland and Labrador,1014,NL,1906
Nain,Newfoundland and Labrador,1014,NL,1125
Corner Brook,Newfoundland and Labrador,1013,NL,19806
Stephenville,Newfoundland and Labrador,1013,NL,6623
Deer Lake,Newfoundland and Labrador,1013,NL,5249
Channel-Port aux Basques,Newfoundland and Labrador,1013,NL,4067
Pasadena,Newfoundland and Labrador,1013,NL,3620
Kippens,Newfoundland and Labrador,1013,NL,2008
Stephenville Crossing,Newfoundland and Labrador,1013,NL,1719
Massey Drive,Newfoundland and Labrador,1013,NL,1632
Humbermouth,Newfoundland and Labrador,1013,NL,1599
Irishtown-Summerside,Newfoundland and Labrador,1013,NL,1418
Burgeo,Newfoundland and Labrador,1013,NL,1307
St. George's,Newfoundland and Labrador,1013,NL,1203
Grand Falls,Newfoundland and Labrador,1012,NL,14171
Gander,Newfoundland and Labrador,1012,NL,11688
Lewisporte,Newfoundland and Labrador,1012,NL,3409
Bishops Falls,Newfoundland and Labrador,1012,NL,3156
Springdale,Newfoundland and Labrador,1012,NL,2971
Botwood,Newfoundland and Labrador,1012,NL,2875
Fogo Island,Newfoundland and Labrador,1012,NL,2244
Twillingate,Newfoundland and Labrador,1012,NL,2196
New-Wes-Valley,Newfoundland and Labrador,1012,NL,2172
Glovertown,Newfoundland and Labrador,1012,NL,2083
Gambo,Newfoundland and Labrador,1012,NL,1978
Harbour Breton,Newfoundland and Labrador,1012,NL,1634
Baie Verte,Newfoundland and Labrador,1012,NL,1313
St. Alban's,Newfoundland and Labrador,1012,NL,1186
Centreville-Wareham-Trinity,Newfoundland and Labrador,1012,NL,1147
St. John's,Newfoundland and Labrador,1011,NL,108860
Conception Bay South,Newfoundland and Labrador,1011,NL,26199
Mount Pearl Park,Newfoundland and Labrador,1011,NL,22957
Paradise,Newfoundland and Labrador,1011,NL,21389
Portugal Cove-St. Philip's,Newfoundland and Labrador,1011,NL,8147
Torbay,Newfoundland and Labrador,1011,NL,7899
Clarenville,Newfoundland and Labrador,1011,NL,6291
Bay Roberts,Newfoundland and Labrador,1011,NL,6012
Marystown,Newfoundland and Labrador,1011,NL,5316
Carbonear,Newfoundland and Labrador,1011,NL,4838
Goulds,Newfoundland and Labrador,1011,NL,4418
Placentia,Newfoundland and Labrador,1011,NL,3496
Bonavista,Newfoundland and Labrador,1011,NL,3448
Harbour Grace,Newfoundland and Labrador,1011,NL,2995
Spaniards Bay,Newfoundland and Labrador,1011,NL,2653
Holyrood,Newfoundland and Labrador,1011,NL,2463
Burin,Newfoundland and Labrador,1011,NL,2315
