City,Province_left,HR_UID,Province_right,Population
Lac-Nominingue,Quebec,2415,QC,2019
Lac-Superieur,Quebec,2415,QC,1892
Gore,Quebec,2415,QC,1775
Saint-Placide,Quebec,2415,QC,1715
Mille-Isles,Quebec,2415,QC,1629
Grenville,Quebec,2415,QC,1577
Amherst,Quebec,2415,QC,1524
Notre-Dame-du-Laus,Quebec,2415,QC,1518
Wentworth-Nord,Quebec,2415,QC,1381
La Conception,Quebec,2415,QC,1287
Sainte-Lucie-des-Laurentides,Quebec,2415,QC,1269
La Minerve,Quebec,2415,QC,1234
La Macaza,Quebec,2415,QC,1053
Brebeuf,Quebec,2415,QC,1012
Terrebonne,Quebec,2414,QC,111575
Repentigny,Quebec,2414,QC,84965
Mascouche,Quebec,2414,QC,42491
L'Assomption,Quebec,2414,QC,20065
Joliette,Quebec,2414,QC,19621
Saint-Lin--Laurentides,Quebec,2414,QC,17463
Lavaltrie,Quebec,2414,QC,13657
Saint-Charles-Borromee,Quebec,2414,QC,13321
Rawdon,Quebec,2414,QC,10416
Lorraine,Quebec,2414,QC,9352
Sainte-Julienne,Quebec,2414,QC,9331
Notre-Dame-des-Prairies,Quebec,2414,QC,8868
Saint-Felix-de-Valois,Quebec,2414,QC,6029
Saint-Calixte,Quebec,2414,QC,5934
Charlemagne,Quebec,2414,QC,5853
L'Epiphanie,Quebec,2414,QC,5353
Saint-Paul,Quebec,2414,QC,5122
Saint-Roch-de-l'Achigan,Quebec,2414,QC,4892
Chertsey,Quebec,2414,QC,4836
Lanoraie,Quebec,2414,QC,4787
Saint-Jean-de-Matha,Quebec,2414,QC,4335
Saint-Donat,Quebec,2414,QC,4130
Berthierville,Quebec,2414,QC,4091
Saint-Jacques,Quebec,2414,QC,4021
Crabtree,Quebec,2414,QC,3887
Saint-Ambroise-de-Kildare,Quebec,2414,QC,3747
Saint-Sulpice,Quebec,2414,QC,3273
Saint-Thomas,Quebec,2414,QC,3193
Saint-Alphonse-Rodriguez,Quebec,2414,QC,3134
Sainte-Melanie,Quebec,2414,QC,2892
Saint-Gabriel,Quebec,2414,QC,2844
Saint-Gabriel-de-Brandon,Quebec,2414,QC,2679
Notre-Dame-de-Lourdes,Quebec,2414,QC,2595
Saint-Michel-des-Saints,Quebec,2414,QC,2436
Sainte-Genevieve-de-Berthier,Quebec,2414,QC,2365
Saint-Come,Quebec,2414,QC,2198
Saint-Ignace-de-Loyola,Quebec,2414,QC,2086
Manouane,Quebec,2414,QC,2060
Mandeville,Quebec,2414,QC,2043
Saint-Damien,Quebec,2414,QC,2020
Saint-Liguori,Quebec,2414,QC,1976
Saint-Esprit,Quebec,2414,QC,1963
Saint-Barthelemy,Quebec,2414,QC,1883
Sainte-Beatrix,Quebec,2414,QC,1849
Saint-Cuthbert,Quebec,2414,QC,1839
Sainte-Emelie-de-l'Energie,Quebec,2414,QC,1644
Sainte-Marcelline-de-Kildare,Quebec,2414,QC,1567
Sainte-Elisabeth,Quebec,2414,QC,1559
Saint-Alexis,Quebec,2414,QC,1267
Saint-Zenon,Quebec,2414,QC,1250
Sainte-Marie-Salome,Quebec,2414,QC,1164
Saint-Norbert,Quebec,2414,QC,1059
Levis,Quebec,2412,QC,143414
Thetford Mines,Quebec,2412,QC,25709
Sainte-Marie,Quebec,2412,QC,12889
Montmagny,Quebec,2412,QC,11491
Saint-Lambert-de-Lauzon,Quebec,2412,QC,6647
Beauceville,Quebec,2412,QC,6354
Saint-Apollinaire,Quebec,2412,QC,6110
Saint-Henri,Quebec,2412,QC,5023
Saint-Joseph-de-Beauce,Quebec,2412,QC,4722
Lac-Etchemin,Quebec,2412,QC,4061
L'Islet-sur-Mer,Quebec,2412,QC,3999
Saint-Prosper,Quebec,2412,QC,3605
Saint-Agapit,Quebec,2412,QC,3567
Saint-Anselme,Quebec,2412,QC,3458
Sainte-Claire,Quebec,2412,QC,3325
Saint-Jean-Port-Joli,Quebec,2412,QC,3304
Saint-Come--Liniere,Quebec,2412,QC,3274
Cap-Saint-Ignace,Quebec,2412,QC,3045
Sainte-Luce,Quebec,2412,QC,2851
Adstock,Quebec,2412,QC,2806
Saint-Pamphile,Quebec,2412,QC,2685
Laurier-Station,Quebec,2412,QC,2634
Disraeli,Quebec,2412,QC,2502
Saint-Raphael,Quebec,2412,QC,2463
Saint-Martin,Quebec,2412,QC,2462
Saint-Victor,Quebec,2412,QC,2430
Saint-Ephrem-de-Beauce,Quebec,2412,QC,2400
Scott,Quebec,2412,QC,2352
Sainte-Croix,Quebec,2412,QC,2352
Saint-Gedeon-de-Beauce,Quebec,2412,QC,2277
Saint-Charles-de-Bellechasse,Quebec,2412,QC,2246
East Broughton,Quebec,2412,QC,2229
Saint-Gilles,Quebec,2412,QC,2138
Saint-Bernard,Quebec,2412,QC,2131
Saint-Elzear,Quebec,2412,QC,2107
Saint-Damien-de-Buckland,Quebec,2412,QC,2071
Saint-Gervais,Quebec,2412,QC,2058
Vallee-Jonction,Quebec,2412,QC,1940
Saint-Joseph-de-Coleraine,Quebec,2412,QC,1870
Sainte-Justine,Quebec,2412,QC,1845
Saint-Michel-de-Bellechasse,Quebec,2412,QC,1816
La Guadeloupe,Quebec,2412,QC,1787
Saint-Zacharie,Quebec,2412,QC,1751
Saint-Benoit-Labre,Quebec,2412,QC,1612
Saint-Honore-de-Shenley,Quebec,2412,QC,1610
Saint-Antoine-de-Tilly,Quebec,2412,QC,1604
Saint-Francois-de-la-Riviere-du-Sud,Quebec,2412,QC,1596
Saint-Flavien,Quebec,2412,QC,1578
Saint-Malachie,Quebec,2412,QC,1489
Tring-Jonction,Quebec,2412,QC,1473
Saint-Odilon-de-Cranbourne,Quebec,2412,QC,1459
Saint-Aubert,Quebec,2412,QC,1409
Berthier-sur-Mer,Quebec,2412,QC,1398
Frampton,Quebec,2412,QC,1393
Saint-Edouard-de-Lotbiniere,Quebec,2412,QC,1248
Notre-Dame-des-Pins,Quebec,2412,QC,1227
Sainte-Henedine,Quebec,2412,QC,1212
Saint-Lazare-de-Bellechasse,Quebec,2412,QC,1172
Saints-Anges,Quebec,2412,QC,1149
Sainte-Agathe-de-Lotbiniere,Quebec,2412,QC,1145
Saint-Leon-de-Standon,Quebec,2412,QC,1128
Sainte-Marguerite,Quebec,2412,QC,1107
Saint-Narcisse-de-Beaurivage,Quebec,2412,QC,1091
Saint-Frederic,Quebec,2412,QC,1085
Saint-Patrice-de-Beaurivage,Quebec,2412,QC,1080
Saint-Vallier,Quebec,2412,QC,1046
Coleraine,Quebec,2412,QC,1043
Saint-Sylvestre,Quebec,2412,QC,1035
Gaspe,Quebec,2411,QC,15163
Les Iles-de-la-Madeleine,Quebec,2411,QC,12010
Chandler,Quebec,2411,QC,7703
Sainte-Anne-des-Monts,Quebec,2411,QC,6933
Carleton-sur-Mer,Quebec,2411,QC,3991
New Richmond,Quebec,2411,QC,3810
Grande-Riviere,Quebec,2411,QC,3456
Perce,Quebec,2411,QC,3312
Paspebiac,Quebec,2411,QC,3198
Dalhousie,New Brunswick,2411,QC,3126
Bonaventure,Quebec,2411,QC,2775
Cap-Chat,Quebec,2411,QC,2623
Maria,Quebec,2411,QC,2536
Port-Daniel--Gascons,Quebec,2411,QC,2453
Caplan,Quebec,2411,QC,2039
Nouvelle,Quebec,2411,QC,1689
New Carlisle,Quebec,2411,QC,1388
Listuguj,Quebec,2411,QC,1241
Saint-Simeon,Quebec,2411,QC,1179
Grande-Vallee,Quebec,2411,QC,1137
Saint-Maxime-du-Mont-Louis,Quebec,2411,QC,1118
Sainte-Therese-de-Gaspe,Quebec,2411,QC,1055
Chibougamau,Quebec,2410,QC,7504
Lebel-sur-Quevillon,Quebec,2410,QC,2187
Chapais,Quebec,2410,QC,1610
Eeyou Istchee Baie-James,Quebec,2410,QC,1589
Matagami,Quebec,2410,QC,1526
Sept-Iles,Quebec,2409,QC,28534
Baie-Comeau,Quebec,2409,QC,21536
Port-Cartier,Quebec,2409,QC,6651
Havre-Saint-Pierre,Quebec,2409,QC,3460
Forestville,Quebec,2409,QC,3270
Fermont,Quebec,2409,QC,2474
Pessamit,Quebec,2409,QC,2256
Pointe-Lebel,Quebec,2409,QC,1973
Les Escoumins,Quebec,2409,QC,1891
Sacre-Coeur-Saguenay,Quebec,2409,QC,1803
Uashat,Quebec,2409,QC,1592
Maliotenam,Quebec,2409,QC,1542
Blanc-Sablon,Quebec,2409,QC,1118
Longue-Rive,Quebec,2409,QC,1026
Rouyn-Noranda,Quebec,2408,QC,42334
Val-d'Or,Quebec,2408,QC,31862
Amos,Quebec,2408,QC,12823
La Sarre,Quebec,2408,QC,7719
Malartic,Quebec,2408,QC,3449
Senneterre,Quebec,2408,QC,2953
Macamic,Quebec,2408,QC,2734
Ville-Marie,Quebec,2408,QC,2595
Temiscaming,Quebec,2408,QC,2385
Barraute,Quebec,2408,QC,1980
Palmarolle,Quebec,2408,QC,1465
Riviere-Heva,Quebec,2408,QC,1433
Amulet,Quebec,2408,QC,1340
Lorrainville,Quebec,2408,QC,1272
Trecesson,Quebec,2408,QC,1138
Saint-Bruno-de-Guigues,Quebec,2408,QC,1100
Notre-Dame-du-Nord,Quebec,2408,QC,1075
Gatineau,Quebec,2407,QC,276245
Val-des-Monts,Quebec,2407,QC,11582
Cantley,Quebec,2407,QC,10699
La Peche,Quebec,2407,QC,7863
Old Chelsea,Quebec,2407,QC,6909
Pontiac,Quebec,2407,QC,5850
L'Ange-Gardien,Quebec,2407,QC,5464
Maniwaki,Quebec,2407,QC,3930
Saint-Andre-Avellin,Quebec,2407,QC,3749
Thurso,Quebec,2407,QC,2818
Gracefield,Quebec,2407,QC,2462
Mansfield-et-Pontefract,Quebec,2407,QC,2285
Papineauville,Quebec,2407,QC,2101
Deleage,Quebec,2407,QC,1856
Messines,Quebec,2407,QC,1608
Shawville,Quebec,2407,QC,1587
Ripon,Quebec,2407,QC,1542
Fort-Coulonge,Quebec,2407,QC,1433
L'Isle-aux-Allumettes,Quebec,2407,QC,1334
Clarendon,Quebec,2407,QC,1256
Grand-Remous,Quebec,2407,QC,1168
Plaisance,Quebec,2407,QC,1088
Bristol,Quebec,2407,QC,1036
Montreal,Quebec,2406,QC,3519595
Dollard-des-Ormeaux,Quebec,2406,QC,49637
Cote-Saint-Luc,Quebec,2406,QC,32448
Pointe-Claire,Quebec,2406,QC,31380
Kirkland,Quebec,2406,QC,20151
Westmount,Quebec,2406,QC,19931
Mont-Royal,Quebec,2406,QC,19503
Beaconsfield,Quebec,2406,QC,19115
Dorval,Quebec,2406,QC,18980
Hampstead,Quebec,2406,QC,7153
Montreal-Ouest,Quebec,2406,QC,5085
Sainte-Anne-de-Bellevue,Quebec,2406,QC,4958
Baie-d'Urfe,Quebec,2406,QC,3823
Montreal-Est,Quebec,2406,QC,1082
Sherbrooke,Quebec,2405,QC,161323
Granby,Quebec,2405,QC,63433
Lac-Brome,Quebec,2405,QC,58889
Magog,Quebec,2405,QC,25358
Cowansville,Quebec,2405,QC,12489
Coaticook,Quebec,2405,QC,8698
Farnham,Quebec,2405,QC,8330
Bromont,Quebec,2405,QC,7649
Asbestos,Quebec,2405,QC,7096
Val-Shefford,Quebec,2405,QC,6711
Lac-Megantic,Quebec,2405,QC,5932
Cookshire,Quebec,2405,QC,5393
Windsor,Quebec,2405,QC,5367
Waterloo,Quebec,2405,QC,4410
Mont-Orford,Quebec,2405,QC,4337
Danville,Quebec,2405,QC,4070
Sutton,Quebec,2405,QC,4012
Roxton Pond,Quebec,2405,QC,3786
East Angus,Quebec,2405,QC,3741
Dunham,Quebec,2405,QC,3471
Saint-Denis-de-Brompton,Quebec,2405,QC,3402
Richmond,Quebec,2405,QC,3232
Saint-Alphonse-de-Granby,Quebec,2405,QC,3125
Compton,Quebec,2405,QC,3112
Ascot Corner,Quebec,2405,QC,2891
Saint-Paul-d'Abbotsford,Quebec,2405,QC,2870
Stanstead,Quebec,2405,QC,2857
Stoke,Quebec,2405,QC,2765
Bedford,Quebec,2405,QC,2684
Weedon-Centre,Quebec,2405,QC,2683
Sainte-Catherine-de-Hatley,Quebec,2405,QC,2464
Brigham,Quebec,2405,QC,2457
Valcourt,Quebec,2405,QC,2349
Sainte-Cecile-de-Milton,Quebec,2405,QC,2128
Saint-Francois-Xavier-de-Brompton,Quebec,2405,QC,2101
Waterville,Quebec,2405,QC,2028
Hatley,Quebec,2405,QC,2003
Austin,Quebec,2405,QC,1880
Potton,Quebec,2405,QC,1849
Eastman,Quebec,2405,QC,1843
Dudswell,Quebec,2405,QC,1771
Frontenac,Quebec,2405,QC,1650
Cleveland,Quebec,2405,QC,1609
Lambton,Quebec,2405,QC,1584
Val-Joli,Quebec,2405,QC,1501
Wotton,Quebec,2405,QC,1453
Nantes,Quebec,2405,QC,1374
Sainte-Brigide-d'Iberville,Quebec,2405,QC,1331
Saint-Ludger,Quebec,2405,QC,1255
Racine,Quebec,2405,QC,1252
Saint-Armand,Quebec,2405,QC,1248
Bury,Quebec,2405,QC,1174
Saint-Joachim-de-Shefford,Quebec,2405,QC,1171
Sainte-Sabine,Quebec,2405,QC,1120
Frelighsburg,Quebec,2405,QC,1111
Ayer's Cliff,Quebec,2405,QC,1109
Saint-Claude,Quebec,2405,QC,1106
Lac-Drolet,Quebec,2405,QC,1071
Stukely-Sud,Quebec,2405,QC,1058
Melbourne,Quebec,2405,QC,1004
Trois-Rivieres,Quebec,2404,QC,134413
Drummondville,Quebec,2404,QC,68601
Shawinigan,Quebec,2404,QC,50060
Victoriaville,Quebec,2404,QC,45309
Becancour,Quebec,2404,QC,12438
La Tuque,Quebec,2404,QC,11001
Nicolet,Quebec,2404,QC,7828
Louiseville,Quebec,2404,QC,7517
Plessisville,Quebec,2404,QC,6688
Princeville,Quebec,2404,QC,5693
Notre-Dame-du-Mont-Carmel,Quebec,2404,QC,5467
Warwick,Quebec,2404,QC,4766
Saint-Germain-de-Grantham,Quebec,2404,QC,4551
Saint-Boniface,Quebec,2404,QC,4511
Saint-Cyrille-de-Wendover,Quebec,2404,QC,4389
Saint-Etienne-des-Gres,Quebec,2404,QC,4217
Saint-Tite,Quebec,2404,QC,3880
Saint-Alexis-des-Monts,Quebec,2404,QC,3046
Saint-Christophe-d'Arthabaska,Quebec,2404,QC,2892
Yamachiche,Quebec,2404,QC,2787
Saint-Maurice,Quebec,2404,QC,2775
Sainte-Thecle,Quebec,2404,QC,2478
Wickham,Quebec,2404,QC,2470
Saint-Leonard-d'Aston,Quebec,2404,QC,2271
Maskinonge,Quebec,2404,QC,2253
Pierreville,Quebec,2404,QC,2176
Sainte-Anne-de-la-Perade,Quebec,2404,QC,2072
Saint-Ferdinand,Quebec,2404,QC,2067
Obedjiwan,Quebec,2404,QC,2019
Kingsey Falls,Quebec,2404,QC,2000
Saint-Francois-du-Lac,Quebec,2404,QC,1957
Saint-Narcisse,Quebec,2404,QC,1762
Saint-Elie-de-Caxton,Quebec,2404,QC,1676
Champlain,Quebec,2404,QC,1664
Lyster,Quebec,2404,QC,1628
Sainte-Clotilde-de-Horton,Quebec,2404,QC,1616
Saint-Lucien,Quebec,2404,QC,1584
Saint-Felix-de-Kingsey,Quebec,2404,QC,1563
Saint-Guillaume,Quebec,2404,QC,1547
Saint-Paulin,Quebec,2404,QC,1534
Saint-Albert,Quebec,2404,QC,1526
Laurierville,Quebec,2404,QC,1454
Tingwick,Quebec,2404,QC,1410
Saint-Mathieu-du-Parc,Quebec,2404,QC,1407
Notre-Dame-du-Bon-Conseil,Quebec,2404,QC,1404
Sainte-Ursule,Quebec,2404,QC,1375
Lac-aux-Sables,Quebec,2404,QC,1373
Herouxville,Quebec,2404,QC,1340
Sainte-Anne-du-Sault,Quebec,2404,QC,1290
Saint-Valere,Quebec,2404,QC,1286
Saint-Majorique-de-Grantham,Quebec,2404,QC,1251
Saint-Pierre-les-Becquets,Quebec,2404,QC,1223
Wemotaci,Quebec,2404,QC,1213
L'Avenir,Quebec,2404,QC,1202
Saint-Norbert-d'Arthabaska,Quebec,2404,QC,1185
Saint-Barnabe,Quebec,2404,QC,1179
Saint-Eugene,Quebec,2404,QC,1131
Saint-Wenceslas,Quebec,2404,QC,1064
Sainte-Genevieve-de-Batiscan,Quebec,2404,QC,1060
Saint-Justin,Quebec,2404,QC,1060
Saint-Stanislas,Quebec,2404,QC,1029
Saint-Bonaventure,Quebec,2404,QC,1017
Baie-du-Febvre,Quebec,2404,QC,1010
Durham-Sud,Quebec,2404,QC,1008
Quebec City,Quebec,2403,QC,705103
Saint-Augustin-de-Desmaures,Quebec,2403,QC,18141
L'Ancienne-Lorette,Quebec,2403,QC,16745
Saint-Raymond,Quebec,2403,QC,9615
Pont-Rouge,Quebec,2403,QC,8723
La Malbaie,Quebec,2403,QC,8271
Beauport,Quebec,2403,QC,7281
Donnacona,Quebec,2403,QC,7200
Baie-Saint-Paul,Quebec,2403,QC,7146
Stoneham-et-Tewkesbury,Quebec,2403,QC,7106
Boischatel,Quebec,2403,QC,6465
Sainte-Catherine-de-la-Jacques-Cartier,Quebec,2403,QC,6319
Sainte-Brigitte-de-Laval,Quebec,2403,QC,5696
Shannon,Quebec,2403,QC,5086
Neuville,Quebec,2403,QC,4392
Beaupre,Quebec,2403,QC,3752
Portneuf,Quebec,2403,QC,3187
Clermont,Quebec,2403,QC,3118
Cap Sante,Quebec,2403,QC,2996
Saint-Ferreol-les-Neiges,Quebec,2403,QC,2964
Saint-Gabriel-de-Valcartier,Quebec,2403,QC,2933
Saint-Marc-des-Carrieres,Quebec,2403,QC,2862
Sainte-Anne-de-Beaupre,Quebec,2403,QC,2854
Saint-Basile,Quebec,2403,QC,2463
Deschambault,Quebec,2403,QC,2220
Wendake,Quebec,2403,QC,2134
Saint-Pierre-de-l'Ile-d'Orleans,Quebec,2403,QC,1789
Fossambault-sur-le-Lac,Quebec,2403,QC,1613
Saint-Tite-des-Caps,Quebec,2403,QC,1506
Saint-Casimir,Quebec,2403,QC,1500
Saint-Urbain,Quebec,2403,QC,1474
Saint-Ubalde,Quebec,2403,QC,1403
Les Eboulements,Quebec,2403,QC,1331
L'Isle-aux-Coudres,Quebec,2403,QC,1279
Saint-Alban,Quebec,2403,QC,1225
Saint-Hilarion,Quebec,2403,QC,1181
Saint-Aime-des-Lacs,Quebec,2403,QC,1073
Sainte-Petronille,Quebec,2403,QC,1041
Saint-Leonard-de-Portneuf,Quebec,2403,QC,1019
Saguenay,Quebec,2402,QC,144746
Alma,Quebec,2402,QC,30904
Mistassini,Quebec,2402,QC,14250
Saint-Felicien,Quebec,2402,QC,10278
Roberval,Quebec,2402,QC,10227
Saint-Honore,Quebec,2402,QC,5257
Metabetchouan-Lac-a-la-Croix,Quebec,2402,QC,4097
Saint-Ambroise,Quebec,2402,QC,3546
Normandin,Quebec,2402,QC,3137
Saint-Prime,Quebec,2402,QC,2758
Saint-David-de-Falardeau,Quebec,2402,QC,2657
Saint-Bruno,Quebec,2402,QC,2636
Herbertville,Quebec,2402,QC,2491
Hebertville,Quebec,2402,QC,2441
Albanel,Quebec,2402,QC,2262
Saint-Nazaire,Quebec,2402,QC,2114
Saint-Gedeon,Quebec,2402,QC,2001
L'Ascension-de-Notre-Seigneur,Quebec,2402,QC,1983
Mashteuiatsh,Quebec,2402,QC,1957
Saint-Fulgence,Quebec,2402,QC,1949
Chambord,Quebec,2402,QC,1773
La Dore,Quebec,2402,QC,1453
Larouche,Quebec,2402,QC,1277
Labrecque,Quebec,2402,QC,1215
L'Anse-Saint-Jean,Quebec,2402,QC,1208
Lac-Bouchette,Quebec,2402,QC,1174
Girardville,Quebec,2402,QC,1100
Sainte-Jeanne-d'Arc,Quebec,2402,QC,1089
Desbiens,Quebec,2402,QC,1053
Rimouski,Quebec,2401,QC,48664
Riviere-du-Loup,Quebec,2401,QC,19447
Matane,Quebec,2401,QC,14462
Amqui,Quebec,2401,QC,6322
Mont-Joli,Quebec,2401,QC,6281
Temiscouata-sur-le-Lac,Quebec,2401,QC,5096
La Pocatiere,Quebec,2401,QC,4266
Saint-Antonin,Quebec,2401,QC,4027
Saint-Pascal,Quebec,2401,QC,3490
Trois-Pistoles,Quebec,2401,QC,3456
Degelis,Quebec,2401,QC,3051
Saint-Anaclet-de-Lessard,Quebec,2401,QC,3035
Pohenegamook,Quebec,2401,QC,2770
Causapscal,Quebec,2401,QC,2458
Saint-Alexandre-de-Kamouraska,Quebec,2401,QC,2050
Saint-Georges-de-Cacouna,Quebec,2401,QC,1939
Saint-Fabien,Quebec,2401,QC,1906
Sayabec,Quebec,2401,QC,1864
Sainte-Anne-de-la-Pocatiere,Quebec,2401,QC,1717
Price,Quebec,2401,QC,1673
Saint-Pacome,Quebec,2401,QC,1658
Riviere-Blanche,Quebec,2401,QC,1642
Saint-Jean-de-Dieu,Quebec,2401,QC,1606
L' Isle-Verte,Quebec,2401,QC,1469
Lac-au-Saumon,Quebec,2401,QC,1453
Saint-Louis-du-Ha! Ha!,Quebec,2401,QC,1318
Saint-Arsene,Quebec,2401,QC,1253
Saint-Hubert-de-Riviere-du-Loup,Quebec,2401,QC,1235
Notre-Dame-du-Portage,Quebec,2401,QC,1193
Sainte-Felicite,Quebec,2401,QC,1175
Saint-Michel-du-Squatec,Quebec,2401,QC,1171
Saint-Gabriel-de-Rimouski,Quebec,2401,QC,1167
Saint-Cyprien,Quebec,2401,QC,1163
Mont-Carmel,Quebec,2401,QC,1136
Notre-Dame-des-Neiges,Quebec,2401,QC,1129
Saint-Modeste,Quebec,2401,QC,1128
Les Mechins,Quebec,2401,QC,1107
Saint-Rene-de-Matane,Quebec,2401,QC,1089
Riviere-Ouelle,Quebec,2401,QC,1058
Saint-Narcisse-de-Rimouski,Quebec,2401,QC,1017
Chateau-Richer,Quebec,2403,QC,4126
Saint-Laurent-de-l'Ile-d'Orleans,Quebec,2403,QC,1580
Chute-aux-Outardes,Quebec,2409,QC,1577
Pointe-a-la-Croix,Quebec,2411,QC,1472
Saint-Joachim,Quebec,2404,QC,1471
Ragueneau,Quebec,2409,QC,1405
Pointe-des-Cascades,Quebec,2416,QC,1340
Pointe-aux-Outardes,Quebec,2409,QC,1330
Riviere-Bleue,Quebec,2401,QC,1299
Whitehorse,Yukon,6001,YT,25085
Dawson,Yukon,6001,YT,1375
Saskatoon,Saskatchewan,4759,SK,346025
Regina,Saskatchewan,4758,SK,272509
Prince Albert,Saskatchewan,4755,SK,87916
Moose Jaw,Saskatchewan,4760,SK,60079
Lloydminster,Saskatchewan,4757,SK,79795
Swift Current,Saskatchewan,4762,SK,37908
Yorkton,Saskatchewan,4750,SK,97493
North Battleford,Saskatchewan,4757,SK,79795
Estevan,Saskatchewan,4761,SK,90663
Warman,Saskatchewan,4759,SK,346025
Weyburn,Saskatchewan,4761,SK,90663
Martensville,Saskatchewan,4759,SK,346025
Corman Park No. 344,Saskatchewan,4759,SK,346025
Melfort,Saskatchewan,4756,SK,40797
Humboldt,Saskatchewan,4750,SK,97493
La Ronge,Saskatchewan,4753,SK,23506
Meadow Lake,Saskatchewan,4754,SK,27546
Flin Flon,Saskatchewan,4604,SK,77380
Kindersley,Saskatchewan,4751,SK,36454
Melville,Saskatchewan,4750,SK,97493
Edenwold No. 158,Saskatchewan,4758,SK,272509
Nipawin,Saskatchewan,4756,SK,40797
Battleford,Saskatchewan,4757,SK,79795
Prince Albert No. 461,Saskatchewan,4755,SK,87916
Buckland No. 491,Saskatchewan,4755,SK,87916
Tisdale,Saskatchewan,4756,SK,40797
White City,Saskatchewan,4758,SK,272509
Vanscoy No. 345,Saskatchewan,4759,SK,346025
La Loche,Saskatchewan,4754,SK,27546
Pelican Narrows,Saskatchewan,4753,SK,23506
Unity,Saskatchewan,4757,SK,79795
Meadow Lake No. 588,Saskatchewan,4754,SK,27546
Moosomin,Saskatchewan,4761,SK,90663
Esterhazy,Saskatchewan,4750,SK,97493
Rosetown,Saskatchewan,4751,SK,36454
Dundurn No. 314,Saskatchewan,4759,SK,346025
Assiniboia,Saskatchewan,4760,SK,60079
Rosthern No. 403,Saskatchewan,4755,SK,87916
Outlook,Saskatchewan,4751,SK,36454
Canora,Saskatchewan,4750,SK,97493
Pilot Butte,Saskatchewan,4758,SK,272509
Biggar,Saskatchewan,4751,SK,36454
Britannia No. 502,Saskatchewan,4757,SK,79795
Maple Creek,Saskatchewan,4762,SK,37908
Rama,Saskatchewan,4750,SK,97493
Blucher,Saskatchewan,4759,SK,346025
Lumsden No. 189,Saskatchewan,4758,SK,272509
Swift Current No. 137,Saskatchewan,4762,SK,37908
Fort Qu'Appelle,Saskatchewan,4761,SK,90663
Indian Head,Saskatchewan,4761,SK,90663
Watrous,Saskatchewan,4750,SK,97493
Orkney No. 244,Saskatchewan,4750,SK,97493
Dalmeny,Saskatchewan,4759,SK,346025
Kamsack,Saskatchewan,4750,SK,97493
Lumsden,Saskatchewan,4758,SK,272509
Wynyard,Saskatchewan,4750,SK,97493
Shaunavon,Saskatchewan,4762,SK,37908
Rosthern,Saskatchewan,4755,SK,87916
Wilton No. 472,Saskatchewan,4757,SK,79795
Balgonie,Saskatchewan,4758,SK,272509
Shellbrook No. 493,Saskatchewan,4755,SK,87916
Hudson Bay,Saskatchewan,4756,SK,40797
Carlyle,Saskatchewan,4761,SK,90663
Langham,Saskatchewan,4759,SK,346025
Frenchman Butte,Saskatchewan,4757,SK,79795
Torch River No. 488,Saskatchewan,4756,SK,40797
Shellbrook,Saskatchewan,4755,SK,87916
Macklin,Saskatchewan,4757,SK,79795
Creighton,Saskatchewan,4753,SK,23506
Laird No. 404,Saskatchewan,4755,SK,87916
Canwood No. 494,Saskatchewan,4755,SK,87916
Estevan No. 5,Saskatchewan,4761,SK,90663
Spiritwood No. 496,Saskatchewan,4757,SK,79795
Oxbow,Saskatchewan,4761,SK,90663
Wadena,Saskatchewan,4750,SK,97493
Wilkie,Saskatchewan,4757,SK,79795
Ile-a-la-Crosse,Saskatchewan,4754,SK,27546
South Qu'Appelle No. 157,Saskatchewan,4761,SK,90663
Mervin No. 499,Saskatchewan,4757,SK,79795
Osler,Saskatchewan,4759,SK,346025
Lanigan,Saskatchewan,4750,SK,97493
Lajord No. 128,Saskatchewan,4761,SK,90663
Beaver River,Saskatchewan,4754,SK,27546
Langenburg,Saskatchewan,4750,SK,97493
Moose Jaw No. 161,Saskatchewan,4760,SK,60079
Maidstone,Saskatchewan,4757,SK,79795
Battle River No. 438,Saskatchewan,4757,SK,79795
Kipling,Saskatchewan,4761,SK,90663
Carnduff,Saskatchewan,4761,SK,90663
Foam Lake,Saskatchewan,4750,SK,97493
Gravelbourg,Saskatchewan,4760,SK,60079
Hudson Bay No. 394,Saskatchewan,4756,SK,40797
Buffalo Narrows,Saskatchewan,4754,SK,27546
Air Ronge,Saskatchewan,4753,SK,23506
Grenfell,Saskatchewan,4761,SK,90663
St. Louis No. 431,Saskatchewan,4755,SK,87916
Regina Beach,Saskatchewan,4758,SK,272509
Pinehouse,Saskatchewan,4753,SK,23506
Preeceville,Saskatchewan,4750,SK,97493
Maple Creek No. 111,Saskatchewan,4762,SK,37908
Weyburn No. 67,Saskatchewan,4761,SK,90663
Birch Hills,Saskatchewan,4755,SK,87916
Kerrobert,Saskatchewan,4751,SK,36454
Eston,Saskatchewan,4751,SK,36454
Kindersley No. 290,Saskatchewan,4751,SK,36454
Delisle,Saskatchewan,4759,SK,346025
Waldheim,Saskatchewan,4755,SK,87916
Davidson,Saskatchewan,4751,SK,36454
Longlaketon No. 219,Saskatchewan,4758,SK,272509
Nipawin No. 487,Saskatchewan,4756,SK,40797
Duck Lake No. 463,Saskatchewan,4755,SK,87916
